trial,true_label,predicted,confidence,correct
1,Right,Right,0.8339,True
2,Left,Right,0.5894,False
3,Left,Left,0.5226,True
4,Right,Right,0.5199,True
5,Left,Left,0.6034,True
6,Right,Right,0.9294,True
7,Right,Right,0.5410,True
8,Left,Right,0.5279,False
9,Left,Left,0.8259,True
10,Right,Right,0.7201,True
11,Right,Right,0.6527,True
12,Left,Left,0.5212,True
13,Left,Left,0.8954,True
14,Right,Left,0.5434,False
15,Right,Right,0.5139,True
16,Left,Left,0.5092,True
17,Right,Left,0.6633,False
18,Right,Right,0.7062,True
19,Left,Left,0.5448,True
20,Right,Right,0.9504,True
21,Left,Right,0.7525,False
22,Left,Left,0.5969,True
23,Right,Right,0.8307,True
24,Right,Right,0.5880,True
25,Left,Left,0.7150,True
26,Left,Left,0.9227,True
27,Right,Right,0.7312,True
28,Right,Right,0.9740,True
29,Left,Left,0.5657,True
30,Right,Right,0.5615,True
31,Right,Right,0.6435,True
32,Left,Right,0.7728,False
33,Right,Right,0.6556,True
34,Left,Left,0.8289,True
35,Left,Right,0.8181,False
36,Right,Right,0.8350,True
37,Left,Left,0.5875,True
38,Right,Right,0.5192,True
39,Left,Left,0.8532,True
40,Right,Left,0.7459,False
41,Right,Right,0.5649,True
42,Left,Right,0.5780,False
43,Right,Right,0.6771,True
44,Left,Left,0.6919,True
45,Right,Right,0.8852,True
